#: table_doi: 10.17182/hepdata.92323.v2/t5
#: name: Delta Chi-squared Map (two-dimensional method)
#: description: $\Delta \chi^2$ map of phase-I+II data calculated by the two-dimensional method. To be used in combination with the $\Delta \chi^2_{\text{crit},x}$ values of the two-dimensional method to generate exclusion contours at $x$% C.L. for phase-I+II data. Additional explanations are given there.
#: data_file: DeltaChisquaredValues2D.yaml
#: keyword observables: Delta Chi^2
#: keyword phrases: Delta Chi-squared Map
#: ,delta chi-squared values
$\sin^{2}(2\theta_{ee})$,$\Delta m^{2}_{41}$ [eV$^2$],$\Delta\chi^{2}$
0.0705,0.4524,8.79
0.0739,0.4524,8.79
0.0774,0.4524,8.79
0.0811,0.4524,8.79
0.085,0.4524,8.8
0.089,0.4524,8.8
0.0933,0.4524,8.81
0.0977,0.4524,8.81
0.1024,0.4524,8.82
0.1072,0.4524,8.84
0.1123,0.4524,8.85
0.1177,0.4524,8.87
0.1233,0.4524,8.89
0.1292,0.4524,8.92
0.1353,0.4524,8.95
0.1417,0.4524,8.99
0.1485,0.4524,9.04
0.1556,0.4524,9.09
0.163,0.4524,9.15
0.1707,0.4524,9.23
0.1789,0.4524,9.31
0.1874,0.4524,9.41
0.1963,0.4524,9.52
0.2057,0.4524,9.66
0.2154,0.4524,9.81
0.2257,0.4524,9.99
0.2364,0.4524,10.2
0.2477,0.4524,10.44
0.2595,0.4524,10.72
0.2719,0.4524,11.05
0.2848,0.4524,11.43
0.2984,0.4524,11.88
0.3126,0.4524,12.4
0.3275,0.4524,13.01
0.343,0.4524,13.72
0.3594,0.4524,14.57
0.3765,0.4524,15.57
0.3944,0.4524,16.76
0.4132,0.4524,18.17
0.4329,0.4524,19.86
0.4535,0.4524,21.91
0.4751,0.4524,24.38
0.4977,0.4524,27.4
0.5214,0.4524,31.11
0.5462,0.4524,35.71
0.5722,0.4524,41.49
0.5995,0.4524,48.81
0.628,0.4524,58.24
0.6579,0.4524,70.58
0.6893,0.4524,87.04
0.7221,0.4524,109.54
0.7565,0.4524,141.23
0.7925,0.4524,187.6
0.8302,0.4524,259.23
0.8697,0.4524,380.26
0.9112,0.4524,622.12
0.9545,0.4524,1278.78
1,0.4524,1277.88
0.01,0.4762,8.89
0.0105,0.4762,8.89
0.011,0.4762,8.89
0.0115,0.4762,8.88
0.012,0.4762,8.88
0.0126,0.4762,8.87
0.0132,0.4762,8.87
0.0138,0.4762,8.86
0.0145,0.4762,8.86
0.0152,0.4762,8.85
0.0159,0.4762,8.85
0.0167,0.4762,8.84
0.0175,0.4762,8.84
0.0183,0.4762,8.83
0.0192,0.4762,8.83
0.0201,0.4762,8.82
0.021,0.4762,8.81
0.0221,0.4762,8.8
0.0231,0.4762,8.8
0.0242,0.4762,8.79
0.0254,0.4762,8.78
0.0266,0.4762,8.77
0.0278,0.4762,8.77
0.0292,0.4762,8.76
0.0305,0.4762,8.75
0.032,0.4762,8.74
0.0335,0.4762,8.73
0.0351,0.4762,8.72
0.0368,0.4762,8.71
0.0385,0.4762,8.7
0.0404,0.4762,8.69
0.0423,0.4762,8.67
0.0443,0.4762,8.66
0.0464,0.4762,8.65
0.0486,0.4762,8.64
0.0509,0.4762,8.63
0.0534,0.4762,8.61
0.0559,0.4762,8.6
0.0586,0.4762,8.59
0.0614,0.4762,8.57
0.0643,0.4762,8.56
0.0673,0.4762,8.55
0.0705,0.4762,8.53
0.0739,0.4762,8.52
0.0774,0.4762,8.51
0.0811,0.4762,8.5
0.085,0.4762,8.48
0.089,0.4762,8.47
0.0933,0.4762,8.46
0.0977,0.4762,8.45
0.1024,0.4762,8.45
0.1072,0.4762,8.44
0.1123,0.4762,8.44
0.1177,0.4762,8.43
0.1233,0.4762,8.44
0.1292,0.4762,8.44
0.1353,0.4762,8.45
0.1417,0.4762,8.46
0.1485,0.4762,8.48
0.1556,0.4762,8.51
0.163,0.4762,8.54
0.1707,0.4762,8.58
0.1789,0.4762,8.64
0.1874,0.4762,8.7
0.1963,0.4762,8.78
0.2057,0.4762,8.88
0.2154,0.4762,8.99
0.2257,0.4762,9.13
0.2364,0.4762,9.29
0.2477,0.4762,9.49
0.2595,0.4762,9.72
0.2719,0.4762,10
0.2848,0.4762,10.32
0.2984,0.4762,10.71
0.3126,0.4762,11.17
0.3275,0.4762,11.71
0.343,0.4762,12.36
0.3594,0.4762,13.13
0.3765,0.4762,14.04
0.3944,0.4762,15.14
0.4132,0.4762,16.46
0.4329,0.4762,18.05
0.4535,0.4762,19.97
0.4751,0.4762,22.32
0.4977,0.4762,25.19
0.5214,0.4762,28.73
0.5462,0.4762,33.14
0.5722,0.4762,38.69
0.5995,0.4762,45.74
0.628,0.4762,54.84
0.6579,0.4762,66.76
0.6893,0.4762,82.69
0.7221,0.4762,104.52
0.7565,0.4762,135.37
0.7925,0.4762,180.87
0.8302,0.4762,252.31
0.8697,0.4762,376.47
0.9112,0.4762,632.94
0.9545,0.4762,1344.26
1,0.4762,1342.09
0.01,0.5012,8.86
0.0105,0.5012,8.85
0.011,0.5012,8.84
0.0115,0.5012,8.84
0.012,0.5012,8.83
0.0126,0.5012,8.83
0.0132,0.5012,8.82
0.0138,0.5012,8.81
0.0145,0.5012,8.8
0.0152,0.5012,8.8
0.0159,0.5012,8.79
0.0167,0.5012,8.78
0.0175,0.5012,8.77
0.0183,0.5012,8.76
0.0192,0.5012,8.75
0.0201,0.5012,8.74
0.021,0.5012,8.73
0.0221,0.5012,8.72
0.0231,0.5012,8.71
0.0242,0.5012,8.7
0.0254,0.5012,8.68
0.0266,0.5012,8.67
0.0278,0.5012,8.66
0.0292,0.5012,8.64
0.0305,0.5012,8.63
0.032,0.5012,8.61
0.0335,0.5012,8.6
0.0351,0.5012,8.58
0.0368,0.5012,8.57
0.0385,0.5012,8.55
0.0404,0.5012,8.53
0.0423,0.5012,8.51
0.0443,0.5012,8.49
0.0464,0.5012,8.47
0.0486,0.5012,8.45
0.0509,0.5012,8.43
0.0534,0.5012,8.41
0.0559,0.5012,8.38
0.0586,0.5012,8.36
0.0614,0.5012,8.34
0.0643,0.5012,8.31
0.0673,0.5012,8.29
0.0705,0.5012,8.26
0.0739,0.5012,8.24
0.0774,0.5012,8.21
0.0811,0.5012,8.19
0.085,0.5012,8.16
0.089,0.5012,8.13
0.0933,0.5012,8.11
0.0977,0.5012,8.08
0.1024,0.5012,8.06
0.1072,0.5012,8.03
0.1123,0.5012,8.01
0.1177,0.5012,7.99
0.1233,0.5012,7.97
0.1292,0.5012,7.95
0.1353,0.5012,7.94
0.1417,0.5012,7.93
0.1485,0.5012,7.93
0.1556,0.5012,7.93
0.163,0.5012,7.93
0.1707,0.5012,7.95
0.1789,0.5012,7.97
0.1874,0.5012,8.01
0.1963,0.5012,8.06
0.2057,0.5012,8.12
0.2154,0.5012,8.2
0.2257,0.5012,8.31
0.2364,0.5012,8.43
0.2477,0.5012,8.59
0.2595,0.5012,8.79
0.2719,0.5012,9.02
0.2848,0.5012,9.31
0.2984,0.5012,9.65
0.3126,0.5012,10.06
0.3275,0.5012,10.56
0.343,0.5012,11.16
0.3594,0.5012,11.88
0.3765,0.5012,12.75
0.3944,0.5012,13.79
0.4132,0.5012,15.05
0.4329,0.5012,16.58
0.4535,0.5012,18.43
0.4751,0.5012,20.7
0.4977,0.5012,23.49
0.5214,0.5012,26.95
0.5462,0.5012,31.25
0.5722,0.5012,36.68
0.5995,0.5012,43.58
0.628,0.5012,52.5
0.6579,0.5012,64.2
0.6893,0.5012,79.88
0.7221,0.5012,101.42
0.7565,0.5012,132.04
0.7925,0.5012,177.62
0.8302,0.5012,250.12
0.8697,0.5012,377.66
0.9112,0.5012,641.25
0.9545,0.5012,1379.82
1,0.5012,1377.39
0.01,0.5275,8.82
0.0105,0.5275,8.81
0.011,0.5275,8.8
0.0115,0.5275,8.79
0.012,0.5275,8.78
0.0126,0.5275,8.78
0.0132,0.5275,8.77
0.0138,0.5275,8.76
0.0145,0.5275,8.75
0.0152,0.5275,8.74
0.0159,0.5275,8.72
0.0167,0.5275,8.71
0.0175,0.5275,8.7
0.0183,0.5275,8.69
0.0192,0.5275,8.68
0.0201,0.5275,8.66
0.021,0.5275,8.65
0.0221,0.5275,8.63
0.0231,0.5275,8.62
0.0242,0.5275,8.6
0.0254,0.5275,8.58
0.0266,0.5275,8.57
0.0278,0.5275,8.55
0.0292,0.5275,8.53
0.0305,0.5275,8.51
0.032,0.5275,8.49
0.0335,0.5275,8.47
0.0351,0.5275,8.44
0.0368,0.5275,8.42
0.0385,0.5275,8.4
0.0404,0.5275,8.37
0.0423,0.5275,8.35
0.0443,0.5275,8.32
0.0464,0.5275,8.29
0.0486,0.5275,8.26
0.0509,0.5275,8.23
0.0534,0.5275,8.2
0.0559,0.5275,8.17
0.0586,0.5275,8.13
0.0614,0.5275,8.1
0.0643,0.5275,8.07
0.0673,0.5275,8.03
0.0705,0.5275,7.99
0.0739,0.5275,7.95
0.0774,0.5275,7.92
0.0811,0.5275,7.88
0.085,0.5275,7.84
0.089,0.5275,7.8
0.0933,0.5275,7.76
0.0977,0.5275,7.72
0.1024,0.5275,7.68
0.1072,0.5275,7.63
0.1123,0.5275,7.6
0.1177,0.5275,7.56
0.1233,0.5275,7.52
0.1292,0.5275,7.49
0.1353,0.5275,7.45
0.1417,0.5275,7.42
0.1485,0.5275,7.4
0.1556,0.5275,7.38
0.163,0.5275,7.36
0.1707,0.5275,7.36
0.1789,0.5275,7.36
0.1874,0.5275,7.37
0.1963,0.5275,7.4
0.2057,0.5275,7.44
0.2154,0.5275,7.5
0.2257,0.5275,7.58
0.2364,0.5275,7.69
0.2477,0.5275,7.83
0.2595,0.5275,8
0.2719,0.5275,8.22
0.2848,0.5275,8.48
0.2984,0.5275,8.81
0.3126,0.5275,9.21
0.3275,0.5275,9.69
0.343,0.5275,10.28
0.3594,0.5275,11
0.3765,0.5275,11.87
0.3944,0.5275,12.91
0.4132,0.5275,14.19
0.4329,0.5275,15.74
0.4535,0.5275,17.62
0.4751,0.5275,19.94
0.4977,0.5275,22.79
0.5214,0.5275,26.31
0.5462,0.5275,30.72
0.5722,0.5275,36.27
0.5995,0.5275,43.34
0.628,0.5275,52.46
0.6579,0.5275,64.44
0.6893,0.5275,80.51
0.7221,0.5275,102.62
0.7565,0.5275,134.13
0.7925,0.5275,181.19
0.8302,0.5275,256.29
0.8697,0.5275,388.51
0.9112,0.5275,662.53
0.9545,0.5275,1463.41
1,0.5275,1460.67
0.01,0.5552,8.78
0.0105,0.5552,8.77
0.011,0.5552,8.76
0.0115,0.5552,8.75
0.012,0.5552,8.74
0.0126,0.5552,8.73
0.0132,0.5552,8.71
0.0138,0.5552,8.7
0.0145,0.5552,8.69
0.0152,0.5552,8.68
0.0159,0.5552,8.66
0.0167,0.5552,8.65
0.0175,0.5552,8.63
0.0183,0.5552,8.62
0.0192,0.5552,8.6
0.0201,0.5552,8.58
0.021,0.5552,8.57
0.0221,0.5552,8.55
0.0231,0.5552,8.53
0.0242,0.5552,8.51
0.0254,0.5552,8.49
0.0266,0.5552,8.46
0.0278,0.5552,8.44
0.0292,0.5552,8.42
0.0305,0.5552,8.39
0.032,0.5552,8.37
0.0335,0.5552,8.34
0.0351,0.5552,8.31
0.0368,0.5552,8.28
0.0385,0.5552,8.25
0.0404,0.5552,8.22
0.0423,0.5552,8.19
0.0443,0.5552,8.15
0.0464,0.5552,8.12
0.0486,0.5552,8.08
0.0509,0.5552,8.04
0.0534,0.5552,8
0.0559,0.5552,7.96
0.0586,0.5552,7.92
0.0614,0.5552,7.88
0.0643,0.5552,7.83
0.0673,0.5552,7.78
0.0705,0.5552,7.74
0.0739,0.5552,7.69
0.0774,0.5552,7.64
0.0811,0.5552,7.59
0.085,0.5552,7.54
0.089,0.5552,7.49
0.0933,0.5552,7.43
0.0977,0.5552,7.38
0.1024,0.5552,7.33
0.1072,0.5552,7.27
0.1123,0.5552,7.22
0.1177,0.5552,7.17
0.1233,0.5552,7.12
0.1292,0.5552,7.07
0.1353,0.5552,7.02
0.1417,0.5552,6.98
0.1485,0.5552,6.94
0.1556,0.5552,6.91
0.163,0.5552,6.88
0.1707,0.5552,6.87
0.1789,0.5552,6.86
0.1874,0.5552,6.86
0.1963,0.5552,6.88
0.2057,0.5552,6.91
0.2154,0.5552,6.97
0.2257,0.5552,7.05
0.2364,0.5552,7.15
0.2477,0.5552,7.29
0.2595,0.5552,7.47
0.2719,0.5552,7.7
0.2848,0.5552,7.98
0.2984,0.5552,8.34
0.3126,0.5552,8.77
0.3275,0.5552,9.3
0.343,0.5552,9.94
0.3594,0.5552,10.72
0.3765,0.5552,11.67
0.3944,0.5552,12.82
0.4132,0.5552,14.22
0.4329,0.5552,15.92
0.4535,0.5552,17.99
0.4751,0.5552,20.53
0.4977,0.5552,23.66
0.5214,0.5552,27.53
0.5462,0.5552,32.35
0.5722,0.5552,38.41
0.5995,0.5552,46.12
0.628,0.5552,56.06
0.6579,0.5552,69.08
0.6893,0.5552,86.49
0.7221,0.5552,110.39
0.7565,0.5552,144.36
0.7925,0.5552,194.89
0.8302,0.5552,275.09
0.8697,0.5552,415.31
0.9112,0.5552,703.29
0.9545,0.5552,1533.33
1,0.5552,1530.51
0.01,0.5843,8.74
0.0105,0.5843,8.73
0.011,0.5843,8.72
0.0115,0.5843,8.71
0.012,0.5843,8.69
0.0126,0.5843,8.68
0.0132,0.5843,8.67
0.0138,0.5843,8.65
0.0145,0.5843,8.64
0.0152,0.5843,8.62
0.0159,0.5843,8.61
0.0167,0.5843,8.59
0.0175,0.5843,8.57
0.0183,0.5843,8.55
0.0192,0.5843,8.53
0.0201,0.5843,8.51
0.021,0.5843,8.49
0.0221,0.5843,8.47
0.0231,0.5843,8.45
0.0242,0.5843,8.42
0.0254,0.5843,8.4
0.0266,0.5843,8.37
0.0278,0.5843,8.34
0.0292,0.5843,8.32
0.0305,0.5843,8.29
0.032,0.5843,8.26
0.0335,0.5843,8.22
0.0351,0.5843,8.19
0.0368,0.5843,8.16
0.0385,0.5843,8.12
0.0404,0.5843,8.08
0.0423,0.5843,8.04
0.0443,0.5843,8
0.0464,0.5843,7.96
0.0486,0.5843,7.92
0.0509,0.5843,7.87
0.0534,0.5843,7.83
0.0559,0.5843,7.78
0.0586,0.5843,7.73
0.0614,0.5843,7.68
0.0643,0.5843,7.63
0.0673,0.5843,7.57
0.0705,0.5843,7.52
0.0739,0.5843,7.46
0.0774,0.5843,7.41
0.0811,0.5843,7.35
0.085,0.5843,7.29
0.089,0.5843,7.23
0.0933,0.5843,7.17
0.0977,0.5843,7.11
0.1024,0.5843,7.04
0.1072,0.5843,6.98
0.1123,0.5843,6.92
0.1177,0.5843,6.86
0.1233,0.5843,6.81
0.1292,0.5843,6.75
0.1353,0.5843,6.7
0.1417,0.5843,6.66
0.1485,0.5843,6.61
0.1556,0.5843,6.58
0.163,0.5843,6.55
0.1707,0.5843,6.54
0.1789,0.5843,6.53
0.1874,0.5843,6.54
0.1963,0.5843,6.57
0.2057,0.5843,6.62
0.2154,0.5843,6.69
0.2257,0.5843,6.79
0.2364,0.5843,6.92
0.2477,0.5843,7.1
0.2595,0.5843,7.32
0.2719,0.5843,7.6
0.2848,0.5843,7.95
0.2984,0.5843,8.38
0.3126,0.5843,8.9
0.3275,0.5843,9.54
0.343,0.5843,10.31
0.3594,0.5843,11.25
0.3765,0.5843,12.38
0.3944,0.5843,13.75
0.4132,0.5843,15.41
0.4329,0.5843,17.42
0.4535,0.5843,19.86
0.4751,0.5843,22.85
0.4977,0.5843,26.51
0.5214,0.5843,31.02
0.5462,0.5843,36.62
0.5722,0.5843,43.64
0.5995,0.5843,52.51
0.628,0.5843,63.9
0.6579,0.5843,78.73
0.6893,0.5843,98.42
0.7221,0.5843,125.26
0.7565,0.5843,163.05
0.7925,0.5843,218.65
0.8302,0.5843,305.78
0.8697,0.5843,456.04
0.9112,0.5843,761.8
0.9545,0.5843,1652.36
1,0.5843,1649.33
0.01,0.615,8.71
0.0105,0.615,8.7
0.011,0.615,8.69
0.0115,0.615,8.67
0.012,0.615,8.66
0.0126,0.615,8.64
0.0132,0.615,8.63
0.0138,0.615,8.61
0.0145,0.615,8.6
0.0152,0.615,8.58
0.0159,0.615,8.56
0.0167,0.615,8.54
0.0175,0.615,8.52
0.0183,0.615,8.5
0.0192,0.615,8.48
0.0201,0.615,8.46
0.021,0.615,8.43
0.0221,0.615,8.41
0.0231,0.615,8.38
0.0242,0.615,8.36
0.0254,0.615,8.33
0.0266,0.615,8.3
0.0278,0.615,8.27
0.0292,0.615,8.24
0.0305,0.615,8.2
0.032,0.615,8.17
0.0335,0.615,8.14
0.0351,0.615,8.1
0.0368,0.615,8.06
0.0385,0.615,8.02
0.0404,0.615,7.98
0.0423,0.615,7.94
0.0443,0.615,7.89
0.0464,0.615,7.85
0.0486,0.615,7.8
0.0509,0.615,7.75
0.0534,0.615,7.7
0.0559,0.615,7.65
0.0586,0.615,7.59
0.0614,0.615,7.54
0.0643,0.615,7.48
0.0673,0.615,7.43
0.0705,0.615,7.37
0.0739,0.615,7.31
0.0774,0.615,7.25
0.0811,0.615,7.18
0.085,0.615,7.12
0.089,0.615,7.06
0.0933,0.615,6.99
0.0977,0.615,6.93
0.1024,0.615,6.87
0.1072,0.615,6.81
0.1123,0.615,6.75
0.1177,0.615,6.69
0.1233,0.615,6.64
0.1292,0.615,6.59
0.1353,0.615,6.54
0.1417,0.615,6.5
0.1485,0.615,6.47
0.1556,0.615,6.45
0.163,0.615,6.44
0.1707,0.615,6.44
0.1789,0.615,6.46
0.1874,0.615,6.49
0.1963,0.615,6.55
0.2057,0.615,6.64
0.2154,0.615,6.76
0.2257,0.615,6.91
0.2364,0.615,7.11
0.2477,0.615,7.36
0.2595,0.615,7.66
0.2719,0.615,8.04
0.2848,0.615,8.51
0.2984,0.615,9.07
0.3126,0.615,9.75
0.3275,0.615,10.57
0.343,0.615,11.55
0.3594,0.615,12.73
0.3765,0.615,14.15
0.3944,0.615,15.86
0.4132,0.615,17.91
0.4329,0.615,20.39
0.4535,0.615,23.38
0.4751,0.615,27.01
0.4977,0.615,31.43
0.5214,0.615,36.85
0.5462,0.615,43.54
0.5722,0.615,51.86
0.5995,0.615,62.31
0.628,0.615,75.6
0.6579,0.615,92.77
0.6893,0.615,115.34
0.7221,0.615,145.74
0.7565,0.615,187.96
0.7925,0.615,249.09
0.8302,0.615,343.1
0.8697,0.615,501.57
0.9112,0.615,813.69
0.9545,0.615,1646.36
1,0.615,1643.72
0.01,0.6473,8.69
0.0105,0.6473,8.68
0.011,0.6473,8.67
0.0115,0.6473,8.65
0.012,0.6473,8.64
0.0126,0.6473,8.62
0.0132,0.6473,8.61
0.0138,0.6473,8.59
0.0145,0.6473,8.57
0.0152,0.6473,8.55
0.0159,0.6473,8.53
0.0167,0.6473,8.51
0.0175,0.6473,8.49
0.0183,0.6473,8.47
0.0192,0.6473,8.45
0.0201,0.6473,8.42
0.021,0.6473,8.4
0.0221,0.6473,8.37
0.0231,0.6473,8.34
0.0242,0.6473,8.32
0.0254,0.6473,8.29
0.0266,0.6473,8.26
0.0278,0.6473,8.23
0.0292,0.6473,8.19
0.0305,0.6473,8.16
0.032,0.6473,8.12
0.0335,0.6473,8.09
0.0351,0.6473,8.05
0.0368,0.6473,8.01
0.0385,0.6473,7.97
0.0404,0.6473,7.92
0.0423,0.6473,7.88
0.0443,0.6473,7.83
0.0464,0.6473,7.79
0.0486,0.6473,7.74
0.0509,0.6473,7.69
0.0534,0.6473,7.64
0.0559,0.6473,7.59
0.0586,0.6473,7.53
0.0614,0.6473,7.48
0.0643,0.6473,7.42
0.0673,0.6473,7.36
0.0705,0.6473,7.31
0.0739,0.6473,7.25
0.0774,0.6473,7.19
0.0811,0.6473,7.13
0.085,0.6473,7.07
0.089,0.6473,7.01
0.0933,0.6473,6.95
0.0977,0.6473,6.9
0.1024,0.6473,6.84
0.1072,0.6473,6.79
0.1123,0.6473,6.74
0.1177,0.6473,6.7
0.1233,0.6473,6.66
0.1292,0.6473,6.63
0.1353,0.6473,6.6
0.1417,0.6473,6.59
0.1485,0.6473,6.58
0.1556,0.6473,6.59
0.163,0.6473,6.61
0.1707,0.6473,6.66
0.1789,0.6473,6.72
0.1874,0.6473,6.81
0.1963,0.6473,6.93
0.2057,0.6473,7.08
0.2154,0.6473,7.28
0.2257,0.6473,7.52
0.2364,0.6473,7.82
0.2477,0.6473,8.18
0.2595,0.6473,8.62
0.2719,0.6473,9.15
0.2848,0.6473,9.78
0.2984,0.6473,10.54
0.3126,0.6473,11.44
0.3275,0.6473,12.51
0.343,0.6473,13.79
0.3594,0.6473,15.31
0.3765,0.6473,17.12
0.3944,0.6473,19.27
0.4132,0.6473,21.84
0.4329,0.6473,24.91
0.4535,0.6473,28.6
0.4751,0.6473,33.03
0.4977,0.6473,38.4
0.5214,0.6473,44.92
0.5462,0.6473,52.91
0.5722,0.6473,62.76
0.5995,0.6473,75.02
0.628,0.6473,90.47
0.6579,0.6473,110.21
0.6893,0.6473,135.85
0.7221,0.6473,169.93
0.7565,0.6473,216.55
0.7925,0.6473,282.88
0.8302,0.6473,382.78
0.8697,0.6473,546.94
0.9112,0.6473,859.94
0.9545,0.6473,1655.82
1,0.6473,1653.34
0.01,0.6813,8.69
0.0105,0.6813,8.68
0.011,0.6813,8.66
0.0115,0.6813,8.65
0.012,0.6813,8.63
0.0126,0.6813,8.62
0.0132,0.6813,8.6
0.0138,0.6813,8.58
0.0145,0.6813,8.57
0.0152,0.6813,8.55
0.0159,0.6813,8.53
0.0167,0.6813,8.51
0.0175,0.6813,8.49
0.0183,0.6813,8.47
0.0192,0.6813,8.44
0.0201,0.6813,8.42
0.021,0.6813,8.39
0.0221,0.6813,8.37
0.0231,0.6813,8.34
0.0242,0.6813,8.31
0.0254,0.6813,8.29
0.0266,0.6813,8.26
0.0278,0.6813,8.23
0.0292,0.6813,8.19
0.0305,0.6813,8.16
0.032,0.6813,8.13
0.0335,0.6813,8.09
0.0351,0.6813,8.05
0.0368,0.6813,8.01
0.0385,0.6813,7.98
0.0404,0.6813,7.93
0.0423,0.6813,7.89
0.0443,0.6813,7.85
0.0464,0.6813,7.81
0.0486,0.6813,7.76
0.0509,0.6813,7.71
0.0534,0.6813,7.67
0.0559,0.6813,7.62
0.0586,0.6813,7.57
0.0614,0.6813,7.52
0.0643,0.6813,7.47
0.0673,0.6813,7.42
0.0705,0.6813,7.37
0.0739,0.6813,7.32
0.0774,0.6813,7.27
0.0811,0.6813,7.23
0.085,0.6813,7.18
0.089,0.6813,7.14
0.0933,0.6813,7.09
0.0977,0.6813,7.05
0.1024,0.6813,7.02
0.1072,0.6813,6.99
0.1123,0.6813,6.96
0.1177,0.6813,6.95
0.1233,0.6813,6.94
0.1292,0.6813,6.94
0.1353,0.6813,6.95
0.1417,0.6813,6.97
0.1485,0.6813,7.01
0.1556,0.6813,7.07
0.163,0.6813,7.15
0.1707,0.6813,7.26
0.1789,0.6813,7.39
0.1874,0.6813,7.56
0.1963,0.6813,7.77
0.2057,0.6813,8.02
0.2154,0.6813,8.32
0.2257,0.6813,8.69
0.2364,0.6813,9.13
0.2477,0.6813,9.64
0.2595,0.6813,10.26
0.2719,0.6813,10.98
0.2848,0.6813,11.83
0.2984,0.6813,12.84
0.3126,0.6813,14.02
0.3275,0.6813,15.41
0.343,0.6813,17.04
0.3594,0.6813,18.96
0.3765,0.6813,21.23
0.3944,0.6813,23.9
0.4132,0.6813,27.06
0.4329,0.6813,30.8
0.4535,0.6813,35.25
0.4751,0.6813,40.56
0.4977,0.6813,46.92
0.5214,0.6813,54.6
0.5462,0.6813,63.9
0.5722,0.6813,75.27
0.5995,0.6813,89.29
0.628,0.6813,106.76
0.6579,0.6813,128.83
0.6893,0.6813,157.15
0.7221,0.6813,194.27
0.7565,0.6813,244.29
0.7925,0.6813,314.25
0.8302,0.6813,417.54
0.8697,0.6813,583.03
0.9112,0.6813,886.15
0.9545,0.6813,1596.11
1,0.6813,1594
0.01,0.7171,8.7
0.0105,0.7171,8.69
0.011,0.7171,8.68
0.0115,0.7171,8.67
0.012,0.7171,8.65
0.0126,0.7171,8.64
0.0132,0.7171,8.62
0.0138,0.7171,8.61
0.0145,0.7171,8.59
0.0152,0.7171,8.57
0.0159,0.7171,8.56
0.0167,0.7171,8.54
0.0175,0.7171,8.52
0.0183,0.7171,8.5
0.0192,0.7171,8.48
0.0201,0.7171,8.46
0.021,0.7171,8.43
0.0221,0.7171,8.41
0.0231,0.7171,8.39
0.0242,0.7171,8.36
0.0254,0.7171,8.33
0.0266,0.7171,8.31
0.0278,0.7171,8.28
0.0292,0.7171,8.25
0.0305,0.7171,8.22
0.032,0.7171,8.19
0.0335,0.7171,8.16
0.0351,0.7171,8.13
0.0368,0.7171,8.1
0.0385,0.7171,8.06
0.0404,0.7171,8.03
0.0423,0.7171,7.99
0.0443,0.7171,7.96
0.0464,0.7171,7.92
0.0486,0.7171,7.88
0.0509,0.7171,7.85
0.0534,0.7171,7.81
0.0559,0.7171,7.77
0.0586,0.7171,7.73
0.0614,0.7171,7.7
0.0643,0.7171,7.66
0.0673,0.7171,7.63
0.0705,0.7171,7.59
0.0739,0.7171,7.56
0.0774,0.7171,7.53
0.0811,0.7171,7.5
0.085,0.7171,7.48
0.089,0.7171,7.46
0.0933,0.7171,7.44
0.0977,0.7171,7.43
0.1024,0.7171,7.43
0.1072,0.7171,7.43
0.1123,0.7171,7.44
0.1177,0.7171,7.47
0.1233,0.7171,7.5
0.1292,0.7171,7.55
0.1353,0.7171,7.62
0.1417,0.7171,7.7
0.1485,0.7171,7.81
0.1556,0.7171,7.94
0.163,0.7171,8.1
0.1707,0.7171,8.29
0.1789,0.7171,8.52
0.1874,0.7171,8.79
0.1963,0.7171,9.12
0.2057,0.7171,9.5
0.2154,0.7171,9.94
0.2257,0.7171,10.47
0.2364,0.7171,11.07
0.2477,0.7171,11.78
0.2595,0.7171,12.61
0.2719,0.7171,13.57
0.2848,0.7171,14.68
0.2984,0.7171,15.98
0.3126,0.7171,17.48
0.3275,0.7171,19.23
0.343,0.7171,21.26
0.3594,0.7171,23.62
0.3765,0.7171,26.38
0.3944,0.7171,29.61
0.4132,0.7171,33.38
0.4329,0.7171,37.81
0.4535,0.7171,43.03
0.4751,0.7171,49.2
0.4977,0.7171,56.53
0.5214,0.7171,65.28
0.5462,0.7171,75.78
0.5722,0.7171,88.48
0.5995,0.7171,103.98
0.628,0.7171,123.06
0.6579,0.7171,146.87
0.6893,0.7171,177.04
0.7221,0.7171,216.01
0.7565,0.7171,267.68
0.7925,0.7171,338.61
0.8302,0.7171,440.86
0.8697,0.7171,599.2
0.9112,0.7171,872.92
0.9545,0.7171,1443.11
1,0.7171,1441.52
0.01,0.7547,8.74
0.0105,0.7547,8.73
0.011,0.7547,8.72
0.0115,0.7547,8.71
0.012,0.7547,8.7
0.0126,0.7547,8.69
0.0132,0.7547,8.67
0.0138,0.7547,8.66
0.0145,0.7547,8.65
0.0152,0.7547,8.63
0.0159,0.7547,8.62
0.0167,0.7547,8.6
0.0175,0.7547,8.59
0.0183,0.7547,8.57
0.0192,0.7547,8.55
0.0201,0.7547,8.54
0.021,0.7547,8.52
0.0221,0.7547,8.5
0.0231,0.7547,8.48
0.0242,0.7547,8.46
0.0254,0.7547,8.44
0.0266,0.7547,8.42
0.0278,0.7547,8.4
0.0292,0.7547,8.38
0.0305,0.7547,8.36
0.032,0.7547,8.33
0.0335,0.7547,8.31
0.0351,0.7547,8.29
0.0368,0.7547,8.26
0.0385,0.7547,8.24
0.0404,0.7547,8.22
0.0423,0.7547,8.19
0.0443,0.7547,8.17
0.0464,0.7547,8.14
0.0486,0.7547,8.12
0.0509,0.7547,8.1
